6000 34083
18 1735 201304
18 2137 137636
18 2468 779222
18 2685 931286
18 2863 653868
18 3175 598891
18 3905 90094
18 4096 780787
18 4836 100254
18 5176 993219
18 5934 344239
19 78 849222
19 319 282607
19 701 654472
19 735 231476
19 866 725689
19 1091 547118
19 1106 866446
19 1788 512653
19 2407 26549
19 2719 975861
19 2994 849757
19 3041 503413
19 3533 728653
19 3633 330062
19 4039 280339
19 4530 407820
19 5434 755735
20 657 926555
20 1461 378464
20 1494 940492
20 2179 399502
20 3034 332130
20 3213 550859
20 3310 315080
20 3828 684957
20 4178 160274
20 4530 541114
20 5291 42004
20 5500 827174
21 916 461016
21 1840 436154
21 2583 896698
21 3369 659649
21 4218 445250
21 4247 84692
21 4529 911530
21 5423 759411
22 122 468507
22 901 500621
22 1709 36484
22 2595 983163
22 3536 158002
22 4046 571154
22 4566 823622
22 4962 962535
22 5503 797550
22 5776 926590
23 292 70790
23 572 867301
23 1398 769565
23 2220 794723
23 2540 978882
23 3359 30178
23 3367 1791
23 4348 530492
23 4373 199495
23 4801 853378
23 5801 711933
24 993 73329
24 1417 594514
24 1639 13052
24 2086 767908
24 2403 108237
24 2587 235617
24 2645 396100
24 3432 91132
24 3847 26020
24 4145 471593
24 4168 594089
24 5089 50514
24 5550 887416
24 5840 142838
25 595 497731
25 1327 9250
25 1477 336597
25 1944 828201
25 1983 164375
25 2848 998627
25 3754 948482
25 4434 703357
25 5050 869812
25 5818 21635
25 5923 132712
26 567 820632
26 1082 862005
26 1473 816160
26 2308 885510
26 3033 18917
26 3622 761327
26 3684 480537
26 4473 178614
26 5044 838515
26 5519 853198
27 331 148229
27 452 868275
27 836 510244
27 1737 512845
27 2684 947909
27 3065 979930
27 3836 463738
27 4505 388930
27 5425 122530
27 5428 3836
27 5542 418681
27 5787 230650
28 234 601572
28 1210 457036
28 1323 77099
28 1658 119342
28 1873 197961
28 1946 952810
28 2155 682917
28 2259 552118
28 2905 608386
28 3141 264735
28 3191 546518
28 3841 451579
28 4709 769837
28 4749 622548
28 5178 948689
28 5186 689638
28 5790 130339
28 5808 37721
29 733 673410
29 1729 190665
29 2207 602806
29 3076 42747
29 3333 863338
29 3721 839642
29 4291 592122
29 4978 51087
29 5097 136617
30 981 854656
30 1474 284735
30 2162 592856
30 2878 902648
30 3417 153737
30 3777 963324
30 4214 130121
30 4881 337101
30 5827 248824
31 719 480081
31 1370 376431
31 2084 16224
31 2628 4757
31 3282 843018
31 3647 354959
31 3963 512373
31 4410 772050
31 4818 341654
31 5580 767407
32 526 707766
32 1385 562934
32 1615 706882
32 1993 844180
32 2690 64699
32 3553 435777
32 4250 753294
32 5089 625272
32 5274 276595
33 232 934311
33 1107 568518
33 1134 312677
33 2046 827791
33 2720 119677
33 2909 268218
33 3075 819307
33 3499 615452
33 4031 552305
33 4208 17711
33 4558 129227
33 5480 460126
34 597 248316
34 1135 935103
34 2037 572462
34 2686 975565
34 3370 617519
34 3957 481712
34 4383 282729
34 5117 594102
35 334 646619
35 550 798726
35 612 387103
35 987 326595
35 1145 891728
35 1958 348435
35 2155 194088
35 3148 116513
35 3769 464095
35 4531 646435
35 5271 133326
35 5385 614258
35 5646 297178
36 373 465911
36 501 265254
36 1058 845746
36 1875 734282
36 2031 382272
36 2035 950750
36 2460 9731
36 3018 651859
36 3942 116997
36 4141 510788
36 4755 161293
36 5300 321048
36 5680 318223
37 670 422835
37 1352 893667
37 1519 415944
37 2309 591773
37 2805 454888
37 3742 602130
37 3781 969208
37 3910 546140
37 4890 729860
37 4935 440838
37 5066 586042
37 5098 151270
37 5749 815677
37 5911 581698
37 5963 654384
38 75 593566
38 311 705055
38 392 600531
38 585 511853
38 608 769080
38 1393 554152
38 1859 67993
38 2487 910605
38 3455 36839
38 4452 814158
38 5417 482038
38 5954 828586
38 5990 800565
39 120 806969
39 595 591639
39 596 929041
39 1466 323407
39 1583 860400
39 2178 877321
39 2948 923026
39 3049 399273
39 3888 560445
39 4785 230795
39 5546 226735
40 306 904052
40 479 249158
40 1108 384213
40 1823 897376
40 2112 856683
40 2311 332927
40 2342 678239
40 2486 798437
40 3189 485896
40 3217 921023
40 3230 875405
40 3701 730286
40 3941 490268
40 4471 910034
40 4847 179616
40 5664 204645
40 5675 161994
41 681 62554
41 1541 746367
41 1731 876542
41 2292 169469
41 2860 690151
41 3468 150005
41 3669 280855
41 4049 171223
41 4913 494136
41 4955 858501
41 5326 107661
41 5704 599757
41 5736 990993
42 66 107356
42 976 739173
42 1319 893815
42 1348 702709
42 1349 635570
42 1967 383469
42 2453 921120
42 2877 653490
42 3194 975631
42 3411 858891
42 4253 766352
42 4533 962342
42 4604 583940
42 4671 55827
42 4990 797411
42 5733 917346
43 48 172867
43 148 933819
43 1039 80161
43 1206 83812
43 1980 563987
43 2273 232245
43 2680 757134
43 3237 718037
43 3935 778800
43 4809 828402
43 4884 300567
43 5352 839015
43 5981 340294
44 79 65388
44 102 292797
44 490 593889
44 1382 555559
44 1509 234052
44 2230 125938
44 2403 783708
44 2982 777418
44 3444 503064
44 3766 760498
44 3876 476121
44 4595 393511
44 4787 915637
44 5761 86558
45 660 590238
45 1307 600002
45 1563 219795
45 2301 605144
45 2336 777296
45 2602 124086
45 2614 289556
45 3221 297071
45 3703 479376
45 4231 538545
45 4276 100025
45 4278 169166
45 4369 13512
45 5074 630727
45 5907 19614
46 493 609847
46 1475 858801
46 1574 283776
46 2108 742594
46 2914 857829
46 3122 814244
46 3310 195763
46 3508 668259
46 4100 511925
46 4882 802488
46 5847 624159
47 525 339249
47 1518 823538
47 1838 160182
47 1981 139658
47 2957 452990
47 3944 277776
47 4380 3763
47 5037 849381
47 5953 732485
48 555 620025
48 1249 57060
48 1524 731641
48 2500 812412
48 2621 773945
48 3183 956610
48 3601 292163
48 4551 487956
48 5029 585483
48 5475 434487
48 5930 816787
49 275 923574
49 855 156887
49 1802 884851
49 2517 44886
49 2871 25739
49 3799 482765
49 3808 760568
49 4545 642773
49 5229 825681
49 5559 767645
50 890 192947
50 1639 666321
50 2060 858199
50 2212 782879
50 2541 771625
50 2994 114903
50 3194 738339
50 4039 847402
50 4440 449082
50 5191 686140
50 5196 239516
50 5692 754925
51 315 565960
51 943 754950
51 1540 672429
51 2325 42895
51 2499 825458
51 2810 57724
51 3415 120542
51 3463 214229
51 4453 363950
51 5229 956680
51 5371 24177
51 5447 217224
51 5723 819567
52 191 852415
52 687 860742
52 1361 532456
52 2078 282975
52 2478 199145
52 3234 425294
52 3548 267565
52 4500 456389
52 4665 883493
52 5450 440745
53 135 133872
53 992 870228
53 1384 191937
53 2179 971671
53 3026 331726
53 3183 380261
53 3753 918250
53 4036 347025
53 4998 191257
53 5770 644107
54 467 42772
54 739 950368
54 1244 127440
54 1449 237293
54 1977 968390
54 2347 218399
54 2590 725949
54 3377 251531
54 4116 380809
54 4489 177817
54 5451 675986
54 5833 356563
55 809 801525
55 1677 101529
55 2652 441584
55 3589 4746
55 4440 755656
55 4686 502643
55 4894 773890
55 5412 106950
55 5668 321917
55 5856 839204
55 5907 418070
56 263 713794
56 366 550172
56 1137 855488
56 1216 490390
56 1453 224603
56 2059 812765
56 2632 256541
56 2681 707670
56 3420 890056
56 3684 650733
56 3944 18153
56 4191 619209
56 4947 76163
56 5691 486960
57 866 172250
57 1633 917602
57 1981 18291
57 2702 407187
57 3067 830462
57 3486 182319
57 3901 447535
57 4788 901955
57 5367 592908
57 5409 471986
57 5928 700774
58 78 455020
58 875 535779
58 1401 421896
58 2131 371090
58 2183 711331
58 3036 576006
58 3062 857495
58 3784 670212
58 4639 746535
58 5617 481173
59 567 366411
59 1463 334442
59 2125 343941
59 2545 829185
59 2604 307016
59 2804 16078
59 2965 252978
59 3565 881408
59 3621 951041
59 4077 503386
59 4966 599461
59 5726 131383
59 5904 469323
60 120 774301
60 873 654009
60 1029 794163
60 1930 377598
60 2103 808193
60 2468 615357
60 2715 523732
60 3267 901677
60 3507 101881
60 3779 864648
60 4711 916312
60 4810 913670
60 5359 3911
61 340 519440
61 435 300868
61 930 956395
61 1898 435504
61 2445 555483
61 3197 893496
61 3848 224296
61 4056 957007
61 4947 633939
61 5853 11567
62 196 493190
62 366 834422
62 1211 402624
62 1646 632397
62 2172 977215
62 2196 925965
62 2501 803891
62 2956 115700
62 3162 142958
62 3756 120688
62 4461 525089
62 5147 783353
62 5791 935692
63 641 257949
63 1442 919108
63 1873 397990
63 2498 32852
63 3328 836248
63 3610 472579
63 4379 274496
63 4977 168733
63 5773 295840
64 907 861045
64 1396 213792
64 1473 94550
64 1697 476766
64 2591 406871
64 3393 771136
64 3838 703102
64 4770 627904
64 5298 590273
64 5823 934379
64 5921 897772
64 5929 903028
65 564 878625
65 1533 972651
65 1989 734508
65 2830 551853
65 3175 768633
65 3452 880894
65 4304 43042
65 4439 947075
65 4630 46270
65 5497 191293
66 832 92820
66 1001 861646
66 1544 775622
66 2306 291554
66 2948 932654
66 3349 557266
66 3967 803051
66 4037 9126
66 4924 799922
66 5390 642871
66 5936 192711
67 650 467845
67 791 413778
67 1249 786011
67 1663 785362
67 1787 214233
67 2313 447770
67 2436 906147
67 2963 565677
67 3099 172532
67 3524 658402
67 3669 715475
67 4488 972622
67 5197 739092
67 5632 232580
68 561 932002
68 776 977689
68 914 477344
68 1408 364500
68 2161 309855
68 2780 329338
68 3508 398388
68 3964 379227
68 4226 685484
68 4584 810793
68 5488 655111
68 5774 829730
69 324 419439
69 336 547694
69 698 438648
69 1232 100363
69 1443 35223
69 2291 979554
69 3003 43347
69 3306 385919
69 3619 423992
69 4261 425053
69 4704 238220
69 5014 229279
69 5588 390455
70 102 164740
70 358 967961
70 700 109046
70 1020 8387
70 1423 739968
70 2340 894117
70 2866 101139
70 3826 738079
70 4024 132658
70 4753 563116
70 5719 256720
70 5825 68018
71 392 647680
71 529 895250
71 655 889670
71 1285 719217
71 2206 269590
71 2760 171966
71 3017 671941
71 3733 827224
71 3938 859832
71 4683 871695
71 4822 840176
71 5710 81796
71 5962 128356
72 392 550461
72 515 279186
72 644 473154
72 962 138731
72 1237 714987
72 1593 746843
72 1849 226297
72 2594 982573
72 3143 598685
72 3428 657125
72 4313 808116
72 4530 724579
72 5133 115744
72 5947 355398
73 238 112859
73 549 484977
73 879 546496
73 1333 411483
73 1494 383536
73 1600 603147
73 2487 185948
73 3237 566535
73 3925 396323
73 4356 227724
73 4959 569907
73 5915 669070
74 956 942672
74 1167 127700
74 1581 266206
74 1793 927272
74 2657 63541
74 3254 112711
74 4244 793432
74 5111 175525
74 5644 120366
75 903 50467
75 1544 563872
75 2325 995075
75 3264 307739
75 4238 421251
75 5039 410449
75 5167 435824
75 5174 903179
75 5407 670565
75 5794 693857
76 351 75805
76 834 337268
76 1062 866705
76 1198 618116
76 1612 61250
76 1904 553881
76 2790 149515
76 2799 654960
76 3248 824748
76 3529 878699
76 4073 663081
76 4248 237367
76 4684 557353
76 5632 738000
76 5719 697804
77 438 773604
77 1043 437980
77 1223 707310
77 1686 777295
77 1757 44712
77 2339 280951
77 2932 512448
77 3240 875905
77 4133 139055
77 4666 364943
77 5612 307966
78 386 375401
78 1200 214611
78 1592 648256
78 1998 88166
78 2963 202362
78 3082 186944
78 3619 152428
78 4022 138831
78 4516 215114
78 5277 676797
78 5332 14208
78 5784 311959
79 581 956843
79 1320 103451
79 2120 917207
79 2226 640200
79 2594 528717
79 3533 174624
79 4003 874457
79 4587 159831
79 5158 626879
79 5521 988350
80 270 384195
80 361 678306
80 1344 481149
80 2201 84790
80 2652 709309
80 2939 266293
80 3334 351089
80 3423 524601
80 3614 687640
80 4579 710259
80 5154 225588
80 5878 832031
81 632 151601
81 1025 865269
81 1319 606026
81 2125 40488
81 2237 720111
81 3056 648612
81 4020 702608
81 4078 154624
81 4969 224350
81 5335 301331
81 5769 802966
82 152 370282
82 275 917000
82 1136 377203
82 1158 777735
82 1259 416974
82 1383 586369
82 1646 192501
82 1817 113750
82 2777 348281
82 3341 8571
82 3933 434172
82 4557 464567
82 4967 707325
82 5895 685740
83 325 684961
83 501 432523
83 580 339175
83 1312 771633
83 1856 322466
83 2585 21517
83 3522 79098
83 3649 617789
83 4265 241228
83 5009 88248
83 5797 502666
83 5985 923311
84 834 824072
84 1792 122034
84 1947 672068
84 2218 711115
84 2809 133145
84 3351 466117
84 4223 877174
84 4879 338
84 5778 608524
85 429 736002
85 836 705315
85 1057 537506
85 1611 466364
85 2127 191745
85 2145 542156
85 2636 730089
85 3097 692876
85 3689 939880
85 4183 983706
85 5001 526638
85 5596 532934
86 851 119941
86 1042 369019
86 1498 146816
86 2208 980809
86 2778 556024
86 2804 244076
86 3377 940741
86 4316 541318
86 5071 859094
86 5227 93195
87 114 365786
87 892 714876
87 1728 133600
87 2233 471434
87 3110 446014
87 3656 302818
87 3856 839564
87 4477 830368
87 4746 528430
87 5679 246292
88 444 112217
88 631 614298
88 1157 790297
88 1893 282037
88 2377 116642
88 2788 765621
88 3555 318286
88 4359 349718
88 5145 619238
88 5736 522152
88 5867 835408
89 780 383028
89 842 652315
89 1291 572999
89 2242 914255
89 2944 527167
89 3734 1000
89 3774 164438
89 3857 495428
89 4126 623724
89 4960 329890
89 5798 417119
89 5839 189556
90 716 238498
90 1115 735761
90 1364 221102
90 1811 489628
90 1970 350113
90 2395 346509
90 2454 831679
90 3013 292225
90 3829 250558
90 4441 370254
90 5429 1039
91 150 616224
91 905 253900
91 1591 291152
91 2390 42942
91 3163 198296
91 3851 156533
91 4743 312141
91 5070 794520
91 5718 204440
92 244 969498
92 1210 681714
92 1277 782138
92 1892 800034
92 2627 722606
92 2692 119608
92 3352 417288
92 3711 906912
92 4033 707862
92 4739 526263
92 5369 581354
92 5667 801515
93 528 655841
93 636 15086
93 1260 425403
93 1845 346122
93 2210 645299
93 2746 783854
93 3007 440569
93 3591 849219
93 4572 572191
93 4798 691621
93 5343 409137
94 848 792195
94 1396 825388
94 2288 834849
94 2534 292488
94 2813 799086
94 3405 295716
94 4111 431346
94 4408 38179
94 5114 420947
94 5176 700559
94 5731 151982
94 5869 396773
95 772 415351
95 1699 714225
95 2530 292868
95 2857 133025
95 3268 752714
95 3532 861611
95 3839 831752
95 4077 211392
95 4768 437953
95 5213 269036
95 5810 457975
95 5900 634543
95 5932 919000
96 458 588490
96 672 231324
96 834 26916
96 1432 60738
96 2175 158465
96 2235 500767
96 2458 257125
96 2485 563185
96 2912 388130
96 3330 397171
96 4146 659723
96 5109 11203
96 5424 274938
96 5712 24210
97 733 722655
97 1411 737125
97 2275 513353
97 2909 844780
97 3855 144371
97 4373 53762
97 5152 229636
97 5484 905903
97 5494 318517
98 585 23934
98 781 432658
98 1429 822162
98 2282 73319
98 2725 673496
98 3245 57764
98 3372 820174
98 4161 75603
98 4194 369494
98 4778 999164
98 5565 819955
98 5594 318549
98 5675 474017
99 430 776378
99 1170 499012
99 2031 932674
99 2234 899518
99 2903 326365
99 3621 205987
99 4424 49566
99 4926 513918
99 5614 123675
99 5669 463643
99 5725 255900
99 5947 793571
100 624 521600
100 1202 460608
100 2162 945810
100 3097 288337
100 3642 883298
100 4187 787218
100 4684 687415
100 4919 230213
100 5047 642221
100 5410 113045
101 730 984733
101 1471 603039
101 2190 863800
101 3120 620296
101 3483 379615
101 4299 695314
101 4840 72775
101 5109 197350
101 5166 11957
102 453 799854
102 909 727851
102 1169 791694
102 1576 550743
102 1834 677125
102 2614 412332
102 3363 164864
102 3432 996787
102 4362 861868
102 4426 266225
102 5004 268031
102 5392 730891
102 5959 467515
103 367 924571
103 1179 801509
103 2096 782665
103 2408 509119
103 2680 981357
103 3201 337014
103 3812 660646
103 3953 343942
103 4695 198356
103 4701 83881
103 4982 720226
103 5922 626858
104 1070 505245
104 1108 759888
104 1859 973900
104 2006 897322
104 2713 794656
104 2947 739371
104 3910 187705
104 4900 449320
104 5121 379004
104 5399 348218
104 5891 241219
105 949 99577
105 1485 971480
105 2279 491479
105 2608 91948
105 3401 103574
105 3734 8032
105 4406 585233
105 4581 6345
105 5516 312182
106 760 296496
106 1387 839647
106 1546 560203
106 2540 675792
106 3305 663842
106 3308 860076
106 3989 532931
106 4596 246160
106 4668 903437
106 5153 477371
106 5730 464410
107 712 573433
107 1640 677135
107 2410 732218
107 3070 781052
107 3937 802155
107 4611 885866
107 5273 730228
107 5480 256453
108 152 689807
108 211 75728
108 292 427021
108 524 608156
108 974 199072
108 1493 482030
108 2318 174222
108 3300 753257
108 3797 835116
108 4171 96714
108 4942 146777
108 5871 659278
109 251 239939
109 921 682352
109 1656 685661
109 2048 218894
109 2116 75471
109 3086 644088
109 3784 566126
109 4669 629121
109 5661 489267
110 671 647248
110 1217 223061
110 1925 444275
110 2043 339482
110 2087 495402
110 2190 907845
110 2729 271393
110 3239 239243
110 3363 640523
110 3993 503017
110 4931 798100
110 5265 534377
110 5411 59811
111 725 227802
111 1597 182559
111 2307 194471
111 2759 342122
111 2933 221726
111 3169 49008
111 3934 189989
111 4040 720610
111 4564 835499
111 5031 469766
112 449 708747
112 783 722630
112 973 632671
112 1324 767691
112 1798 314964
112 2099 436627
112 2282 323859
112 2615 56653
112 2921 381454
112 3096 839383
112 3781 331534
112 4277 266026
112 4912 889105
112 5457 247485
113 771 883454
113 1379 707756
113 2162 668589
113 3103 171454
113 4038 498632
113 4313 756898
113 5241 816901
113 5669 480138
113 5898 192081
114 793 474607
114 962 313719
114 1094 105668
114 1830 218122
114 1946 592636
114 2545 108391
114 3186 349052
114 3532 299396
114 3715 722934
114 4400 575636
114 5265 45316
115 225 201595
115 379 573542
115 455 145387
115 1421 295870
115 1482 272924
115 1868 213131
115 1919 855054
115 2782 297172
115 3299 901850
115 3417 990907
115 3904 628170
115 4504 309234
115 5204 284534
116 447 965750
116 1024 596592
116 1231 135523
116 1972 10100
116 2566 547479
116 2979 629463
116 3866 81336
116 4711 660018
116 5445 750250
116 5673 490258
116 5787 871077
117 486 880915
117 1374 217972
117 1515 462591
117 2364 562410
117 2633 500950
117 3616 699860
117 3769 115505
117 4718 947604
117 5165 649427
117 5178 111261
117 5488 837348
117 5941 272679
118 816 241906
118 1499 422168
118 1825 290057
118 2357 26593
118 3298 296503
118 4027 182883
118 4727 295490
118 4875 332649
118 5695 502359
118 5844 423677
119 868 389123
119 946 490117
119 1321 382743
119 2129 506832
119 2542 874241
119 3419 413670
119 4338 202044
119 4681 684976
119 5252 585935
119 5516 93426
119 5527 588146
119 5648 614501
120 885 406320
120 1881 44270
120 2221 13654
120 2587 735462
120 3314 268482
120 4147 682821
120 4432 259016
120 5013 502878
120 5901 784602
121 1049 343945
121 1812 37854
121 2683 504382
121 2954 765238
121 3474 56395
121 3556 483164
121 4064 818753
121 4571 874777
121 4660 906161
121 4798 900550
121 5033 437971
121 5763 889056
122 863 259988
122 1339 466985
122 1921 467272
122 2829 388526
122 3211 262113
122 3955 70764
122 4335 116333
122 4966 966126
122 5376 162794
123 282 55301
123 1035 512603
123 1840 357246
123 1984 684043
123 2192 582230
123 2634 861815
123 3600 349430
123 3886 960950
123 3893 898557
123 4098 298884
123 5033 447318
124 170 357049
124 474 731680
124 640 778717
124 1457 636151
124 1680 982469
124 2579 638825
124 2848 697497
124 3165 660664
124 3865 150546
124 3966 870866
124 4825 99530
124 4973 638161
124 5857 717056
125 888 698342
125 914 958742
125 1297 660426
125 1690 998414
125 2278 20109
125 2505 136090
125 3185 391695
125 3521 301504
125 3833 173832
125 4001 28975
125 4881 536713
125 5304 53745
125 5872 394953
126 850 921188
126 1142 675440
126 2089 803985
126 2903 705040
126 3619 639239
126 4399 69129
126 4573 482888
126 5276 275263
127 873 751599
127 1640 271061
127 2414 865938
127 2793 624657
127 3788 111805
127 4182 616566
127 4283 550637
127 4920 944289
127 5196 660428
127 5779 460261
128 1098 47328
128 1922 374753
128 2370 450353
128 3354 111155
128 3962 35903
128 4210 993558
128 4875 801308
128 5554 897954
129 461 816948
129 1295 771081
129 2152 268939
129 2213 418497
129 2432 494341
129 2701 903805
129 3646 750861
129 4416 518272
129 4448 190522
129 4515 512385
129 5368 778573
129 5708 116755
130 375 148771
130 846 215927
130 1563 760508
130 1817 863664
130 2155 79686
130 2672 275276
130 3415 748365
130 3905 928435
130 4886 908646
130 5613 610842
131 477 189225
131 1109 101416
131 1710 28488
131 2043 972296
131 2278 705152
131 2814 294005
131 3433 452463
131 3502 92126
131 3566 720733
131 4377 840750
131 4974 890086
131 5814 315313
132 402 175294
132 966 119000
132 1093 560682
132 1434 491703
132 1743 687108
132 2395 536797
132 2831 681947
132 3210 304940
132 3689 492383
132 4595 887293
132 5395 761383
132 5747 102884
132 5937 5453
133 404 280292
133 1188 677550
133 1745 644077
133 2206 118908
133 2757 558143
133 3353 954606
133 3800 391704
133 4053 603243
133 4540 346199
133 5157 296426
133 5830 810352
134 1095 192503
134 1153 316669
134 1531 103251
134 1644 965209
134 2513 602405
134 2853 563418
134 3162 594417
134 4037 721217
134 4352 635369
134 4512 11920
134 5323 850215
134 5843 821406
135 850 139374
135 1321 319743
135 1390 620154
135 1442 658571
135 1649 304720
135 1945 450457
135 2773 435504
135 3446 229232
135 4286 416091
135 5175 496608
135 5488 585457
135 5758 128681
136 322 346843
136 1145 274709
136 1385 735876
136 2156 823966
136 2850 649514
136 2880 526847
136 3441 464953
136 3842 942280
136 4086 357209
136 4541 370748
136 5419 831039
137 1101 178927
137 1287 635632
137 1662 323459
137 1966 291990
137 2958 111146
137 3118 713053
137 3852 438387
137 4023 619699
137 4100 208684
137 4176 388275
137 4768 891028
137 5440 821223
137 5708 135880
138 149 345757
138 857 469949
138 925 916634
138 1407 123699
138 1763 79292
138 2113 5697
138 2745 31848
138 3598 747036
138 4175 146591
138 4377 963627
138 5040 31238
138 5090 879938
138 5915 797078
139 183 623345
139 1015 638073
139 1718 172941
139 2494 323003
139 2498 808761
139 3330 301055
139 3794 158123
139 4194 528160
139 4296 253599
139 4656 939137
139 5179 382951
139 5866 561149
140 1060 467199
140 1306 703100
140 1926 962206
140 2417 920316
140 2451 72563
140 2817 445974
140 3503 96368
140 3828 289798
140 4375 924379
140 4632 849669
140 4759 856769
140 4878 399725
140 5002 497255
140 5246 992426
140 5535 74744
140 5918 84564
141 1121 787660
141 1378 649186
141 1876 275572
141 2091 811061
141 3024 884540
141 3118 661652
141 3978 98244
141 4172 432239
141 4668 719215
141 5381 283616
141 5710 494437
142 1073 8032
142 1582 66224
142 1702 785247
142 2481 173761
142 2704 454790
142 2718 121408
142 3002 804585
142 3972 520696
142 4838 444509
142 4975 547869
142 5339 427380
142 5750 900954
142 5974 136625
143 978 930305
143 1073 30926
143 1304 14478
143 1735 803806
143 2328 218029
143 3261 787354
143 3508 442074
143 4223 328006
143 4928 637299
143 5899 188752
144 619 517889
144 996 284843
144 1256 488791
144 2044 799487
144 2803 181454
144 3473 72063
144 4369 484595
144 5010 202373
144 5383 129799
144 5697 135402
144 5776 636019
145 293 468733
145 1291 227209
145 1666 557972
145 2618 145891
145 3061 933840
145 3676 691637
145 4124 738757
145 4544 711286
145 5055 575225
146 1067 279472
146 1609 794917
146 2446 566918
146 2505 330506
146 3168 558141
146 3684 44311
146 4321 435248
146 4625 860845
146 5595 788627
146 5739 719860
146 5804 726984
147 844 638783
147 1418 764473
147 1478 105440
147 1519 31367
147 2227 135513
147 2483 885625
147 3180 764173
147 3211 464202
147 3395 401172
147 3460 543494
147 3616 898664
147 3761 928352
147 4390 79123
147 4881 708841
147 5065 448474
147 5723 645236
148 380 926056
148 1040 9023
148 1485 985026
148 2212 433957
148 2489 501703
148 3138 462801
148 3867 548202
148 4847 262252
148 5461 21825
148 5864 910277
149 899 899257
149 1335 979597
149 1424 665975
149 1838 286751
149 2392 548018
149 2722 269962
149 3395 199352
149 3797 3050
149 3871 2358
149 4545 317128
149 4899 164474
149 5752 150907
150 250 162520
150 1224 253859
150 1364 493295
150 1968 4748
150 2046 975200
150 2879 583404
150 3489 415935
150 4442 983979
150 4702 680914
150 5349 321963
150 5660 5048
151 167 706721
151 675 370725
151 861 632716
151 1484 30343
151 2296 200494
151 2609 810670
151 3590 220959
151 4211 310729
151 4595 814173
151 5504 721787
151 5634 855843
151 5721 234108
152 1149 236106
152 1909 95663
152 2054 954148
152 2081 947865
152 2085 750751
152 2483 557719
152 3205 365741
152 4083 505567
152 4484 957899
152 5380 314359
152 5896 154976
153 189 594884
153 1061 861169
153 1131 339962
153 1751 461875
153 2057 364077
153 2687 281969
153 2904 749130
153 3247 69433
153 3376 445445
153 3554 748199
153 3716 803270
153 3789 256081
153 4455 336971
153 5427 727376
154 1097 696465
154 1966 333826
